,goodreads_book_id,authors,original_publication_year,title,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
0,2767052,Suzanne Collins,21,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,155254,66715,127936,560092,1481305,2706317
1,3,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,75867,75504,101676,455024,1156318,3011543
2,41865,Stephenie Meyer,21,"Twilight (Twilight, #1)",3.57,3866839,95009,456191,436802,793319,875073,1355439
3,2657,Harper Lee,21,To Kill a Mockingbird,4.25,3198671,72586,60427,117415,446835,1001952,1714267
4,4671,F. Scott Fitzgerald,21,The Great Gatsby,3.89,2683664,51992,86236,197621,606158,936012,947718
5,11870085,John Green,21,The Fault in Our Stars,4.26,2346404,140739,47994,92723,327550,698471,1311871
6,5907,J.R.R. Tolkien,21,The Hobbit,4.25,2071616,37653,46023,76784,288649,665635,1119718
7,5107,J.D. Salinger,21,The Catcher in the Rye,3.79,2044241,44920,109383,185520,455042,661516,709176
8,960,Dan Brown,21,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,25112,77841,145740,458429,716569,680175
9,1885,Jane Austen,21,Pride and Prejudice,4.24,2035490,49152,54700,86485,284852,609755,1155673
10,77203,Khaled Hosseini,21,The Kite Runner,4.26,1813044,59730,34288,59980,226062,628174,929591
11,13335037,Veronica Roth,21,"Divergent (Divergent, #1)",4.24,1903563,101023,36315,82870,310297,673028,1114304
12,5470,"George Orwell, Erich Fromm, Celâl Üster",21,1984,4.14,1956832,45518,41845,86425,324874,692021,908229
13,7613,George Orwell,21,Animal Farm,3.87,1881700,35472,66854,135147,433432,698642,648912
14,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",21,The Diary of a Young Girl,4.1,1972666,20825,45225,91270,355756,656870,875372
15,2429135,"Stieg Larsson, Reg Keeland",21,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,62543,54835,86051,285413,667485,836050
16,6148028,Suzanne Collins,21,"Catching Fire (The Hunger Games, #2)",4.3,1831039,88538,10492,48030,262010,687238,980309
17,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",21,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,36099,6716,20413,166129,509447,1266670
